nosaukums,Numurs,stils,dizains,Jauns,Apkārtne,Mēbeles,Santehnika,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,baseins,restorāns,apkalpošana numura,brokastis,bārs
Tallink Hotel Riga,680,0,0,0,0,0,0,2010,8.1,9,0,1,96,21,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Tallink Hotel Riga,681,0,0,0,0,0,0,2010,8.1,9,0,2,122,28,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Tallink Hotel Riga,682,0,0,0,0,0,0,2010,8.1,9,0,2,128,28,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Tallink Hotel Riga,683,0,0,0,0,0,0,2010,8.1,9,0,2,142,28,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Tallink Hotel Riga,684,0,0,0,0,0,0,2010,8.1,9,0,3,110,28,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Tallink Hotel Riga,685,0,0,0,0,0,0,2010,8.1,9,0,1,131,28,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Tallink Hotel Riga,686,0,0,0,0,0,0,2010,8.1,9,0,2,172,46,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Tallink Hotel Riga,687,0,0,0,0,0,0,2010,8.1,9,0,2,192,46,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Tallink Hotel Riga,688,0,0,0,0,0,0,2010,8.1,9,0,1,181,46,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Tallink Hotel Riga,689,0,0,0,0,0,0,2010,8.1,9,0,1,60,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Tallink Hotel Riga,690,0,0,0,0,0,0,2010,8.1,9,0,1,69,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Elīna,691,0,0,0,0,0,0,2010,7.1,8.7,0,2,35,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
Villa Santa,692,0,0,0,0,0,0,2017,9.2,9.2,0,2,149,27,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Villa Santa,693,0,0,0,0,0,0,2017,9.2,9.2,0,2,174,35,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Villa Santa,694,0,0,0,0,0,0,2017,9.2,9.2,0,3,229,35,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Villa Santa,695,0,0,0,0,0,0,2017,9.2,9.2,0,2,199,35,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Villa Santa,696,0,0,0,0,0,0,2017,9.2,9.2,0,3,254,35,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Villa Santa,697,0,0,0,0,0,0,2017,9.2,9.2,0,2,225,40,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Villa Santa,698,0,0,0,0,0,0,2017,9.2,9.2,0,3,280,40,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Villa Santa,699,0,0,0,0,0,0,2017,9.2,9.2,0,4,335,40,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,700,0,0,0,0,0,0,2010,8.8,9.4,0,2,63,18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,701,0,0,0,0,0,0,2010,8.8,9.4,0,2,69,18,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,702,0,0,0,0,0,0,2010,8.8,9.4,0,1,58,18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,703,0,0,0,0,0,0,2010,8.8,9.4,0,1,63,18,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,704,0,0,0,0,0,0,2010,8.8,9.4,0,2,63,26,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,705,0,0,0,0,0,0,2010,8.8,9.4,0,2,69,26,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,706,0,0,0,0,0,0,2010,8.8,9.4,0,1,58,26,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,707,0,0,0,0,0,0,2010,8.8,9.4,0,1,63,26,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,708,0,0,0,0,0,0,2010,8.8,9.4,0,2,71,22,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,709,0,0,0,0,0,0,2010,8.8,9.4,0,2,76,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,710,0,0,0,0,0,0,2010,8.8,9.4,0,1,68,22,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,711,0,0,0,0,0,0,2010,8.8,9.4,0,1,72,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,712,0,0,0,0,0,0,2010,8.8,9.4,0,2,88,24,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,713,0,0,0,0,0,0,2010,8.8,9.4,0,2,93,24,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,714,0,0,0,0,0,0,2010,8.8,9.4,0,3,104,24,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,715,0,0,0,0,0,0,2010,8.8,9.4,0,3,109,24,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,716,0,0,0,0,0,0,2010,8.8,9.4,0,1,78,24,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,717,0,0,0,0,0,0,2010,8.8,9.4,0,1,84,24,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,718,0,0,0,0,0,0,2010,8.8,9.4,0,2,94,32,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,719,0,0,0,0,0,0,2010,8.8,9.4,0,2,98,32,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,720,0,0,0,0,0,0,2010,8.8,9.4,0,1,86,32,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,721,0,0,0,0,0,0,2010,8.8,9.4,0,1,91,32,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,722,0,0,0,0,0,0,2010,8.8,9.4,0,2,140,42,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,723,0,0,0,0,0,0,2010,8.8,9.4,0,2,145,42,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,724,0,0,0,0,0,0,2010,8.8,9.4,0,1,131,42,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,725,0,0,0,0,0,0,2010,8.8,9.4,0,1,136,42,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,726,0,0,0,0,0,0,2010,8.8,9.4,0,1,50,16,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Avalon Hotel & Conferences,727,0,0,0,0,0,0,2010,8.8,9.4,0,1,55,16,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Priedes māja,728,0,0,0,0,0,0,2022,9.3,9.3,0,2,43,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Priedes māja,729,0,0,0,0,0,0,2022,9.3,9.3,0,2,59,21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Priedes māja,730,0,0,0,0,0,0,2022,9.3,9.3,0,2,68,44,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Priedes māja,731,0,0,0,0,0,0,2022,9.3,9.3,0,3,80,44,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Priedes māja,732,0,0,0,0,0,0,2022,9.3,9.3,0,4,92,44,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Priedes māja,733,0,0,0,0,0,0,2022,9.3,9.3,0,2,59,24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Dižpriedes,734,0,0,0,0,0,0,2020,9,9.5,0,2,50,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dižpriedes,735,0,0,0,0,0,0,2020,9,9.5,0,2,60,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dižpriedes,736,0,0,0,0,0,0,2020,9,9.5,0,3,60,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dižpriedes,737,0,0,0,0,0,0,2020,9,9.5,0,5,90,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Katrin Apartments,738,0,0,0,0,0,0,2015,9.1,9.3,0,2,113,61,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,739,0,0,0,0,0,0,2015,9.1,9.3,0,3,123,61,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,740,0,0,0,0,0,0,2015,9.1,9.3,0,4,133,61,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,741,0,0,0,0,0,0,2015,9.1,9.3,0,5,143,61,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,742,0,0,0,0,0,0,2015,9.1,9.3,0,6,153,61,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,743,0,0,0,0,0,0,2015,9.1,9.3,0,2,118,55,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,744,0,0,0,0,0,0,2015,9.1,9.3,0,3,128,55,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,745,0,0,0,0,0,0,2015,9.1,9.3,0,4,138,55,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,746,0,0,0,0,0,0,2015,9.1,9.3,0,5,148,55,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,747,0,0,0,0,0,0,2015,9.1,9.3,0,6,158,55,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,748,0,0,0,0,0,0,2015,9.1,9.3,0,2,123,98,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,749,0,0,0,0,0,0,2015,9.1,9.3,0,3,133,98,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,750,0,0,0,0,0,0,2015,9.1,9.3,0,4,143,98,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,751,0,0,0,0,0,0,2015,9.1,9.3,0,5,153,98,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,752,0,0,0,0,0,0,2015,9.1,9.3,0,6,163,98,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,753,0,0,0,0,0,0,2015,9.1,9.3,0,2,127,62,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,754,0,0,0,0,0,0,2015,9.1,9.3,0,3,137,62,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,755,0,0,0,0,0,0,2015,9.1,9.3,0,4,147,62,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,756,0,0,0,0,0,0,2015,9.1,9.3,0,5,157,62,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,757,0,0,0,0,0,0,2015,9.1,9.3,0,6,167,62,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,758,0,0,0,0,0,0,2015,9.1,9.3,0,5,162,100,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,759,0,0,0,0,0,0,2015,9.1,9.3,0,6,172,100,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,760,0,0,0,0,0,0,2015,9.1,9.3,0,7,182,100,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Katrin Apartments,761,0,0,0,0,0,0,2015,9.1,9.3,0,8,192,100,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Čapu Liepu sauna,762,0,0,0,0,0,0,2021,9.8,9.8,1,2,110,100,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
Čapu Liepu sauna,763,0,0,0,0,0,0,2021,9.8,9.8,1,3,125,100,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
Čapu Liepu sauna,764,0,0,0,0,0,0,2021,9.8,9.8,1,4,140,100,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
Seaside apartments,765,0,0,0,0,0,0,2021,9.6,9.1,1,2,75,65,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Seaside apartments,766,0,0,0,0,0,0,2021,9.6,9.1,1,3,95,65,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Seaside apartments,767,0,0,0,0,0,0,2021,9.6,9.1,1,4,110,65,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Seaside apartments,768,0,0,0,0,0,0,2021,9.6,9.1,1,1,45,65,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Seaside apartments,769,0,0,0,0,0,0,2021,9.6,9.1,1,2,85,80,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Seaside apartments,770,0,0,0,0,0,0,2021,9.6,9.1,1,3,110,80,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Seaside apartments,771,0,0,0,0,0,0,2021,9.6,9.1,1,4,130,80,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Seaside apartments,772,0,0,0,0,0,0,2021,9.6,9.1,1,1,55,80,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Vanaga Ligzda,773,0,0,0,0,0,0,2014,8.2,8.7,0,2,45,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Vanaga Ligzda,774,0,0,0,0,0,0,2014,8.2,8.7,0,2,55,24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Vanaga Ligzda,775,0,0,0,0,0,0,2014,8.2,8.7,0,2,70,26,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Vanaga Ligzda,776,0,0,0,0,0,0,2014,8.2,8.7,0,2,80,29,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Vanaga Ligzda,777,0,0,0,0,0,0,2014,8.2,8.7,0,5,90,25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Vanaga Ligzda,778,0,0,0,0,0,0,2014,8.2,8.7,0,4,75,19,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Dīķsalas,779,0,0,0,0,0,0,2014,9.2,9,0,2,15,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dīķsalas,780,0,0,0,0,0,0,2014,9.2,9,0,3,22,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dīķsalas,781,0,0,0,0,0,0,2014,9.2,9,0,4,29,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dīķsalas,782,0,0,0,0,0,0,2014,9.2,9,0,5,36,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dīķsalas,783,0,0,0,0,0,0,2014,9.2,9,0,6,43,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dīķsalas,784,0,0,0,0,0,0,2014,9.2,9,0,2,30,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dīķsalas,785,0,0,0,0,0,0,2014,9.2,9,0,2,40,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dīķsalas,786,0,0,0,0,0,0,2014,9.2,9,0,3,46,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dīķsalas,787,0,0,0,0,0,0,2014,9.2,9,0,4,52,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dīķsalas,788,0,0,0,0,0,0,2014,9.2,9,0,5,58,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dīķsalas,789,0,0,0,0,0,0,2014,9.2,9,0,6,64,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dīķsalas,790,0,0,0,0,0,0,2014,9.2,9,0,7,70,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dīķsalas,791,0,0,0,0,0,0,2014,9.2,9,0,8,76,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dīķsalas,792,0,0,0,0,0,0,2014,9.2,9,0,2,50,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dīķsalas,793,0,0,0,0,0,0,2014,9.2,9,0,3,60,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dīķsalas,794,0,0,0,0,0,0,2014,9.2,9,0,4,70,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Cafe Hotel Rudzons,795,0,0,0,0,0,0,2012,8.4,9.2,0,2,39,18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Cafe Hotel Rudzons,796,0,0,0,0,0,0,2012,8.4,9.2,0,1,34,18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Cafe Hotel Rudzons,797,0,0,0,0,0,0,2012,8.4,9.2,0,2,45,18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Cafe Hotel Rudzons,798,0,0,0,0,0,0,2012,8.4,9.2,0,3,50,18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Cafe Hotel Rudzons,799,0,0,0,0,0,0,2012,8.4,9.2,0,4,58,28,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Hotel Tigra,800,0,0,0,0,0,0,2014,8.1,8.3,0,2,60,17,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Hotel Tigra,801,0,0,0,0,0,0,2014,8.1,8.3,0,2,72,23,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Hotel Tigra,802,0,0,0,0,0,0,2014,8.1,8.3,0,2,86,40,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Hotel Tigra,803,0,0,0,0,0,0,2014,8.1,8.3,0,2,108,56,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Hotel Tigra,804,0,0,0,0,0,0,2014,8.1,8.3,0,4,117,33,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Hotel Tigra,805,0,0,0,0,0,0,2014,8.1,8.3,0,1,41,15,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
ApartHotel Riga,806,0,0,0,0,0,0,2012,7.9,8.3,0,2,29,15,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
ApartHotel Riga,807,0,0,0,0,0,0,2012,7.9,8.3,0,1,27,15,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
ApartHotel Riga,808,0,0,0,0,0,0,2012,7.9,8.3,0,2,43,30,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
ApartHotel Riga,809,0,0,0,0,0,0,2012,7.9,8.3,0,1,40,30,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
ApartHotel Riga,810,0,0,0,0,0,0,2012,7.9,8.3,0,2,54,36,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
ApartHotel Riga,811,0,0,0,0,0,0,2012,7.9,8.3,0,3,62,36,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
ApartHotel Riga,812,0,0,0,0,0,0,2012,7.9,8.3,0,4,70,36,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
ApartHotel Riga,813,0,0,0,0,0,0,2012,7.9,8.3,0,1,50,36,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Rixwell Konventa Seta Design Hotel,814,0,0,0,0,0,0,2005,8.4,9.6,0,2,92,20,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
Rixwell Konventa Seta Design Hotel,815,0,0,0,0,0,0,2005,8.4,9.6,0,2,102,20,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
Rixwell Konventa Seta Design Hotel,816,0,0,0,0,0,0,2005,8.4,9.6,0,2,104,25,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
Rixwell Konventa Seta Design Hotel,817,0,0,0,0,0,0,2005,8.4,9.6,0,2,114,25,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
Rixwell Konventa Seta Design Hotel,818,0,0,0,0,0,0,2005,8.4,9.6,0,2,109,29,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
Stadium Hotel,819,0,0,0,0,0,0,2022,9,8.5,0,2,50,24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Stadium Hotel,820,0,0,0,0,0,0,2022,9,8.5,0,1,45,24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Stadium Hotel,821,0,0,0,0,0,0,2022,9,8.5,0,3,65,43,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Stadium Hotel,822,0,0,0,0,0,0,2022,9,8.5,0,4,80,43,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Roze Villa,823,0,0,0,0,0,0,2012,9.1,9.6,0,2,50,17,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Roze Villa,824,0,0,0,0,0,0,2012,9.1,9.6,0,2,70,17,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Roze Villa,825,0,0,0,0,0,0,2012,9.1,9.6,0,1,60,17,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Roze Villa,826,0,0,0,0,0,0,2012,9.1,9.6,0,2,55,17,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Roze Villa,827,0,0,0,0,0,0,2012,9.1,9.6,0,2,75,17,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Roze Villa,828,0,0,0,0,0,0,2012,9.1,9.6,0,1,65,17,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Roze Villa,829,0,0,0,0,0,0,2012,9.1,9.6,0,2,80,16,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Roze Villa,830,0,0,0,0,0,0,2012,9.1,9.6,0,3,60,16,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Roze Villa,831,0,0,0,0,0,0,2012,9.1,9.6,0,3,90,16,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Roze Villa,832,0,0,0,0,0,0,2012,9.1,9.6,0,1,70,16,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Mētras Māja,833,0,0,0,0,0,0,2013,8.8,9.4,0,2,48,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Mētras Māja,834,0,0,0,0,0,0,2013,8.8,9.4,0,1,30,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Usmas muiža,835,0,0,0,0,0,0,2020,9.2,9.6,0,2,70,23,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Usmas muiža,836,0,0,0,0,0,0,2020,9.2,9.6,0,1,60,23,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Usmas muiža,837,0,0,0,0,0,0,2020,9.2,9.6,0,2,75,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Usmas muiža,838,0,0,0,0,0,0,2020,9.2,9.6,0,3,85,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Usmas muiža,839,0,0,0,0,0,0,2020,9.2,9.6,0,1,70,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Usmas muiža,840,0,0,0,0,0,0,2020,9.2,9.6,0,2,75,15,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Usmas muiža,841,0,0,0,0,0,0,2020,9.2,9.6,0,1,65,15,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Usmas muiža,842,0,0,0,0,0,0,2020,9.2,9.6,0,2,80,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Usmas muiža,843,0,0,0,0,0,0,2020,9.2,9.6,0,3,90,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Usmas muiža,844,0,0,0,0,0,0,2020,9.2,9.6,0,4,100,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Usmas muiža,845,0,0,0,0,0,0,2020,9.2,9.6,0,1,75,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Usmas muiža,846,0,0,0,0,0,0,2020,9.2,9.6,0,2,85,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Usmas muiža,847,0,0,0,0,0,0,2020,9.2,9.6,0,3,95,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Usmas muiža,848,0,0,0,0,0,0,2020,9.2,9.6,0,4,105,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Usmas muiža,849,0,0,0,0,0,0,2020,9.2,9.6,0,1,80,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Usmas muiža,850,0,0,0,0,0,0,2020,9.2,9.6,0,2,100,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Usmas muiža,851,0,0,0,0,0,0,2020,9.2,9.6,0,3,110,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Usmas muiža,852,0,0,0,0,0,0,2020,9.2,9.6,0,4,120,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Hotel Senlīči,853,0,0,0,0,0,0,2015,9,9.1,0,2,55,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Hotel Senlīči,854,0,0,0,0,0,0,2015,9,9.1,0,3,70,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Hotel Senlīči,855,0,0,0,0,0,0,2015,9,9.1,0,2,60,17,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Hotel Senlīči,856,0,0,0,0,0,0,2015,9,9.1,0,3,75,17,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Hotel Senlīči,857,0,0,0,0,0,0,2015,9,9.1,0,2,63,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Hotel Senlīči,858,0,0,0,0,0,0,2015,9,9.1,0,1,50,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Hotel Senlīči,859,0,0,0,0,0,0,2015,9,9.1,0,2,65,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
