Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
2020,8.4,8.4,0,2,53,35,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
2019,9.1,9.1,1,2,105,35,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
2012,9.2,8.8,1,2,50,38,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
2016,9.1,9.3,1,8,76,40,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2009,7.9,8.6,0,2,65,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2010,8,9.2,0,2,45,28,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
2014,9.1,9.6,1,2,81,45,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
2012,8.1,8.3,0,2,45,15,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
2010,8.4,9.7,1,2,55,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2019,9,9.2,1,4,39,55,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2019,9.7,9.5,2,4,165,120,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
2013,9.1,9.1,0,2,50,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2013,9.1,9.6,0,2,59,15,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2016,8.9,9.3,0,2,94,24,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1
2009,8.9,9.3,0,2,75,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2010,9.2,9.6,0,2,78,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2005,7.8,8,0,2,53,22,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2022,9.4,9.7,1,3,92,25,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0
2020,9,9.5,0,2,50,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2023,9.4,9.5,0,2,40,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,7.8,8.1,0,2,41,15,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
2023,9.4,9.4,0,2,36,15,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2009,9.2,9.8,0,2,75,15,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2010,9.3,8.7,0,2,60,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2014,8.7,9,0,3,50,17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
