Numurs,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
135,2009,8.9,9.2,0,2,138,45,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
136,2009,8.9,9.2,0,2,150,45,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
137,2009,8.9,9.2,1,2,164,52,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
138,2009,8.9,9.2,1,2,175,52,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
139,2010,9,8.9,0,4,75,80,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
140,2010,9,8.9,0,4,87,80,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
141,2010,9,8.9,0,5,90,80,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
142,2009,8.9,9.3,0,2,55,18,0,,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
143,2010,9.1,9.4,0,2,71,19,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
144,2010,9.1,9.4,0,2,119,19,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
145,2010,9.1,9.4,0,2,78,26,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
146,2010,9.1,9.4,0,2,125,26,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
147,2010,9.1,9.4,0,2,82,35,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
148,2010,9.1,9.4,0,2,131,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
149,2010,9.1,9.4,0,2,88,35,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
150,2010,9.1,9.4,0,2,137,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
151,2010,9.1,9.4,0,2,125,40,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
152,2010,9.1,9.4,0,2,178,40,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
153,2010,9.1,9.4,0,3,92,35,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
154,2010,9.1,9.4,1,3,132,45,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
155,2010,9.1,9.4,0,4,119,48,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
156,2010,9.1,9.4,0,4,141,40,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
157,2010,8.6,9.2,0,2,82,20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
158,2012,8.9,9.4,0,2,52,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
159,2012,8.9,9.4,0,3,63,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
160,2012,8.9,9.4,0,4,86,31,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
161,2021,8.1,8.3,0,2,112,16,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
162,2021,8.1,8.3,2,4,208,50,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
163,2021,8.1,8.3,0,5,195,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
164,2019,9.4,9.7,0,2,71,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
165,2019,9.4,9.7,0,2,98,22,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
166,2019,9.4,9.7,0,2,85,28,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
167,2019,9.4,9.7,0,2,111,45,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
168,2019,9.4,9.7,0,2,136,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
169,2019,9.4,9.7,0,2,153,53,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
170,2019,9.4,9.7,0,2,170,38,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
171,2011,9.6,9.6,0,2,59,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
172,2011,9.6,9.6,0,2,86,25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
173,2011,9.6,9.6,0,3,68,20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
174,2011,9.6,9.6,0,3,77,25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
175,2011,9.6,9.6,0,3,81,20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
176,2011,9.6,9.6,0,4,108,56,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
177,2012,8.7,9.6,0,2,50,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
178,2012,8.2,8.7,0,2,87,17,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
179,2012,8.2,8.7,0,2,100,17,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
180,2012,8.2,8.7,0,2,88,17,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
181,2012,8.2,8.7,0,2,108,17,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
182,2012,8.2,8.7,0,2,135,27,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
