Nosaukums,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
Usmas zaķīšu pirtiņa - Bunny house,2021,8.8,9.3,0,3,50,15,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
Usmas zaķīšu pirtiņa - Bunny house,2021,8.8,9.3,0,4,55,15,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
Usmas zaķīšu pirtiņa - Bunny house,2021,8.8,9.3,0,1,43,15,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
Holiday home Kolka-VĀRPAS,2020,9.5,9.5,1,2,100,25,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
Holiday home Kolka-VĀRPAS,2020,9.5,9.5,1,3,110,25,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
Holiday home Kolka-VĀRPAS,2020,9.5,9.5,1,4,120,25,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
Fontaine Valhalla Hotel,2009,8.3,9.6,0,2,50,18,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1
Fontaine Valhalla Hotel,2009,8.3,9.6,0,3,70,25,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1
Fontaine Valhalla Hotel,2009,8.3,9.6,0,4,65,20,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1
Fontaine Valhalla Hotel,2009,8.3,9.6,0,6,120,100,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1
Apartments Vitenberg,2015,9.4,9.9,1,2,70,50,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Apartments Vitenberg,2015,9.4,9.9,1,3,77,50,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Apartments Vitenberg,2015,9.4,9.9,1,1,63,50,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Apartments Vitenberg,2015,9.4,9.9,1,2,73,40,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Apartments Vitenberg,2015,9.4,9.9,1,3,80,40,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Apartments Vitenberg,2015,9.4,9.9,1,1,66,40,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Apartments Vitenberg,2015,9.4,9.9,1,2,80,50,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Apartments Vitenberg,2015,9.4,9.9,1,3,88,50,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Apartments Vitenberg,2015,9.4,9.9,1,1,72,50,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Apartments Vitenberg,2015,9.4,9.9,1,2,90,34,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Apartments Vitenberg,2015,9.4,9.9,1,1,81,34,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Apartments Vitenberg,2015,9.4,9.9,1,2,100,33,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Apartments Vitenberg,2015,9.4,9.9,1,1,90,33,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Apartments Vitenberg,2015,9.4,9.9,1,2,105,43,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Apartments Vitenberg,2015,9.4,9.9,1,3,116,43,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Apartments Vitenberg,2015,9.4,9.9,1,1,95,43,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Hotel Libava,2009,8.8,9.5,0,2,114,22,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
Hotel Libava,2009,8.8,9.5,0,2,137,40,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
Hotel Libava,2009,8.8,9.5,0,2,154,40,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
Hotel Libava,2009,8.8,9.5,0,1,103,34,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
Apartamenti Pūpoli,2022,9.9,9.6,2,3,64,68,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
Mājīgs dzīvoklis Salacgrīvā,2018,8.5,8.8,1,2,59,45,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Mājīgs dzīvoklis Salacgrīvā,2018,8.5,8.8,1,3,70,45,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Mājīgs dzīvoklis Salacgrīvā,2018,8.5,8.8,1,4,83,45,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Mājīgs dzīvoklis Salacgrīvā,2018,8.5,8.8,1,5,95,45,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Grundenberga,2022,9.3,8.9,0,2,50,20,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Grundenberga,2022,9.3,8.9,0,2,60,20,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Grundenberga,2022,9.3,8.9,0,3,80,25,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Grundenberga,2022,9.3,8.9,0,4,100,32,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Jaunāmuiža Apartamenti,2019,9,8.2,0,2,80,21,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Jaunāmuiža Apartamenti,2019,9,8.2,0,2,53,20,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Jaunāmuiža Apartamenti,2019,9,8.2,0,2,63,29,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Balvu centrs,2023,7.3,9.2,2,2,45,70,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
Balvu centrs,2023,7.3,9.2,2,3,47,70,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
Balvu centrs,2023,7.3,9.2,2,4,50,70,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
Balvu centrs,2023,7.3,9.2,2,5,53,70,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
